"","OCC1","OCC2","INC1","INC2","FCOMFORT","REGION","ZIP","AGE1","AGE2","EDUC1","EDUC2","RELAT","HAPPY","GENDER1","GENDER2","Date","L","D","R","MSTAT"
"98","engineer                              ","business owner                 ",125000,50000,"Comfortable","Pac Coast/Islands",92886,38,37,"Some college","Some Grad Sch","Married","Very happy","Male","Female",13371523200,34,18,42,"Married"
"99","Psychologist                          ","home maker                     ",120000,0,"Struggling","Pac Coast/Islands",95020,49,45,"Doctorate","Some college","Married","Happy","Male","Female",13318646400,42,29,35,"Married"
"100","Teacher                               ","interior designer              ",30000,12000,"Struggling","N. East",12871,37,25,"MA/MS","Coll Grad","Married","Very happy","Male","Female",13388716800,27,27,34,"Married"
"101","OFFICE MGR                            ","SELF EMPLOYED                  ",32000,140000,"Struggling","Great Lakes",46845,42,39,"Some college","Coll Grad","Married","Mixed","Male","Female",13332729600,55,51,38,"Married"
"102","FInancial Advisor                     ","Doctor                         ",80000,150000,"Struggling","N. East",10549,38,40,"Some Grad Sch","Doctorate","Married","Very happy","Male","Female",13346985600,29,21,37,"Married"
"103","semi-retired                          ","administrator                  ",2000,149500,"Comfortable","Pac Coast/Islands",95340,56,54,"Coll Grad","Doctorate","Married","Very happy","Male","Female",13327891200,27,29,44,"Married"
"104","credit analyst                        ","personal trainer               ",44520,31000,"Struggling","Pac Coast/Islands",91208,27,35,"Some college","Some college","Married","Mixed","Male","Female",13358649600,25,25,31,"Married"
"105","cabinetry                             ","retail sales                   ",26000,18300,"Struggling","Mid Central",63801,40,30,"HS Grad","Some college","Married","Mixed","Male","Female",13373769600,34,29,35,"Married"
"106","Sales                                 ","Home Maker                     ",2e+05,0,"Comfortable","Pac Coast/Islands",94702,27,26,"Coll Grad","Some college","Married","Happy","Male","Female",13304563200,35,14,49,"Married"
"107","data analyst                          ","sales                          ",50000,42000,"Comfortable","Pac Coast/Islands",90716,28,29,"Coll Grad","Coll Grad","Married","Very happy","Male","Female",13372819200,29,29,38,"Married"
"108","Contractor                            ","Administrative Assistant       ",20000,13000,"Comfortable","N Central",53110,44,29,"HS Grad","Some college","Dating one person","Happy","Male","Female",13380336000,28,32,41,"Single"
"109","office assistant                      ","medical records liasion        ",42000,48000,"Comfortable","Mid Atlantic",21078,46,42,"Coll Grad","Some college","Long-term committed","Very happy","Male","Female",13314153600,35,32,36,"Single"
"110","Legislative Aide                      ","Nurse                          ",55000,48000,"Struggling","Pac Coast/Islands",99515,33,30,"Some Grad Sch","Coll Grad","Married","Happy","Male","Female",13384051200,33,19,31,"Married"
"111","Missionary                            ","House Wife                     ",24000,0,"Comfortable","Mid Central",67749,46,41,"Coll Grad","HS Grad","Married","Very happy","Male","Female",13330310400,14,23,33,"Married"
"112","Social Studies Teacher                ","Stay at Home Mom (Homeschooler)",42000,0,"Struggling","S Central",79414,35,35,"MA/MS","Coll Grad","Married","Very unhappy","Male","Female",13371868800,34,37,46,"Married"
"113","respiratory therapist                 ","student                        ",35000,12000,"Struggling","S East",32780,28,24,"Coll Grad","Some college","Married","Very happy","Male","Female",13382582400,25,21,29,"Married"
"114","chef                                  ","teacher                        ",2e+05,27000,"Comfortable","S Central",75013,23,57,"Some college","Doctorate","Dating several people","Very happy","Male","Female",13358131200,38,44,40,"Single"
"115","lawyer                                ","nurse                          ",60000,45000,"Comfortable","N. East",11361,26,25,"Doctorate","Coll Grad","Married","Very happy","Male","Female",13369622400,19,30,37,"Married"
"116","Advisor                               ","Health care                    ",50000,70000,"Struggling","Mid West",89135,42,35,"Some college","Coll Grad","Married","Unhappy","Male","Female",13347590400,23,18,45,"Married"
"117","construction superintendent           ","Homemaker                      ",72000,0,"Struggling","Mid West",80104,30,28,"Some college","Some college","Married","Very happy","Male","Female",13367116800,26,24,36,"Married"
"118","Attorney                              ","Homemaker                      ",85000,0,"Comfortable","Mid Atlantic",22911,33,33,"MA/MS","Some college","Married","Happy","Male","Female",13375584000,21,29,41,"Married"
"119","Chemist                               ","Pharmacist                     ",60000,60000,"Comfortable","Great Lakes",47803,35,35,"MA/MS","Coll Grad","Married","Very happy","Male","Female",13299897600,48,32,38,"Married"
"120","Paralegal                             ","Marketing                      ",36000,36000,"Comfortable","Pac Coast/Islands",93111,22,23,"Coll Grad","Coll Grad","Long-term committed","Very happy","Male","Female",13336444800,28,28,45,"Single"
"121","Business Operations                   ","Social Worker                  ",136000,55000,"Comfortable","Mid Atlantic",22193,51,55,"MA/MS","Coll Grad","Married","Very happy","Male","Female",13359427200,23,23,37,"Married"
"122","Finance                               ","School Teacher                 ",38000,30000,"Comfortable","Mid West",89103,27,25,"Some college","Coll Grad","Married","Happy","Male","Female",13368412800,36,26,50,"Married"
"123","supervisor                            ","nurse                          ",41600,8000,"Comfortable","Great Lakes",46809,28,28,"HS Grad","Coll Grad","Married","Happy","Male","Female",13363574400,42,20,35,"Married"
"124","supervisor                            ","manager                        ",42000,40000,"Struggling","S East",30215,24,25,"Some college","Some college","Long-term committed","Mixed","Male","Female",13371004800,52,28,46,"Single"
"125","buisness owner                        ","office worker                  ",60000,34000,"Comfortable","New England",4103,33,32,"Coll Grad","Coll Grad","Married","Very unhappy","Male","Female",13339900800,40,31,55,"Married"
"126","Quantitative Trader                   ","Finance Analyst                ",85000,83000,"Comfortable","Mid Central",60004,28,27,"MA/MS","MA/MS","Dating one person","Happy","Male","Female",13384137600,25,30,38,"Single"
"127","Sales                                 ","Admin                          ",42000,52000,"Struggling","Mid West",85023,38,32,"Some college","No HS","Dating one person","Mixed","Male","Female",13382841600,41,40,37,"Single"
"128","Mortage Consultant                    ","Waitress                       ",30000,12000,"Struggling","S Central",75287,21,21,"Some college","Some college","Long-term committed","Mixed","Male","Female",13343702400,53,33,51,"Single"
"129","merchandiser                          ","cosmotologist                  ",56000,33000,"Comfortable","Mid Central",62525,30,25,"MA/MS","Some college","Married","Very happy","Male","Female",13299292800,21,32,47,"Married"
"130","Consultant                            ","Mom                            ",150000,0,"Comfortable","Pac Coast/Islands",93111,31,35,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13333507200,31,18,30,"Married"
"131","business analyst                      ","custmer service                ",60000,40000,"Comfortable","Great Lakes",46254,50,52,"MA/MS","Some college","Dating one person","Unhappy","Male","Female",13353120000,28,24,38,"Single"
"132","Line Cook                             ","Waitress                       ",18000,18000,"Struggling","N. East",16066,21,25,"HS Grad","Some college","Dating one person","Mixed","Male","Female",13359254400,31,38,43,"Single"
"133","Manager                               ","Database Analyst               ",70000,30000,"Comfortable","N Central",55343,28,26,"Coll Grad","Coll Grad","Long-term committed","Very happy","Male","Female",13368758400,20,25,25,"Single"
"134","Sales                                 ","Education                      ",50000,32000,"Comfortable","Mid West",80459,27,25,"Coll Grad","Some Grad Sch","Long-term committed","Very happy","Male","Female",13359427200,48,25,49,"Single"
"135","Accountant                            ","Graphic Designer               ",62000,42000,"Struggling","N Central",55060,29,29,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13333766400,31,17,34,"Married"
"136","diesel mechanic                       ","stay at home mom               ",26000,0,"Struggling","Mid Central",68701,30,33,"Coll Grad","Coll Grad","Married","Mixed","Male","Female",13343356800,40,32,42,"Married"
"137","Store Worker                          ","Military                       ",30000,45000,"Comfortable","New England",9459,35,36,"Some college","Coll Grad","Married","Happy","Male","Female",13368758400,20,28,36,"Married"
"138","educator                              ","student                        ",58500,30000,"Struggling","Pac Coast/Islands",98125,36,34,"MA/MS","Coll Grad","Married","Happy","Male","Female",13372128000,30,31,42,"Married"
"139","IT Manager                            ","Consultant                     ",87300,0,"Struggling","Mid Atlantic",20901,41,41,"MA/MS","Some Grad Sch","Married","Happy","Male","Female",13333334400,28,19,36,"Married"
